Transaction Hash,Block Number,Timestamp,Gas Price (Gwei),Gas Used,Number of Inputs,Max Merkle Tree Depth
05a9da095d75f103d0ca6cae991eb6754ce83e4881ceb118e2ba24bbfa27651a,6495412,1728830315,0.125,1694709,1,1
a9a4679cc803a264a4c0d76753d2228961e150b3cbec90ffe1eeddb02fefc20d,6406748,1728423408,0.125,1731497,2,1
1e30e0ee8a5f87c1c6e70dc7cdf330f83f8c54a004088139d0683815489a4f17,6546537,1729078071,0.125,1493008,2,1
2fb49619cdffea70f7c7472aca3119faa7257ef059588fcccc56a230018ccbc2,6407020,1728424647,0.125,1733729,2,1
68bb169fc21fad55ead574b95dc937c0bda6090251671a954159077e6accd852,6472138,1728712742,0.125,1534504,1,1
01c9e44c0947540d7326dc6b15a539f0a2006b2b3e07f50703564ce98bf705f9,6535855,1729025857,0.125,1625659,1,1
9980fb5fe295c4f160a2215cd086153009ec70da0549f3f2e846c0cf4d1288ef,6413907,1728457716,0.125,1653237,2,1
87631e618115864623529278468c068d7613bd586515e60881ba2bd7c80a359b,6413823,1728457307,0.125,1572508,2,1
57fbbb52bf681a194caac8bb03cd467e4bc24cbd93b6735eefdf766290dd6a60,6406204,1728420833,0.125,1654396,2,1
5251eccd0b28c0ebfd4ccca2d0b6b4b07e8e9443102633fbcc0f9c61f9f8a3f2,6404590,1728412801,0.125,1987559,16,12
5ea68528afd6409f12b9ed8520098994e54e58e78031e656c92b2c934b390bf5,6549199,1729090236,0.125,1693971,1,1
a97db5fd98415edb72903ca09f4547db366cc4fc340ade49a717fcab94a1ec4a,6415176,1728463777,0.125,1731065,2,1
f1b0b1429c3e3c9c75ec53158766ebffd67a7ed692b3425fadadc2110f0d35a4,6501453,1728860390,0.125,1772720,1,1
7a896e841da05d9121b800addf0e3d826ee10f835025bfc2028a43d978a2a133,6409713,1728437789,0.125,1733263,2,1
0dcc96bead3386d32be8200220d14066d4a0aecbb3dbaa73e3cb358e8aa75319,6503296,1728869257,0.125,1625613,1,1
884ff83a30185c2f4fb67430d0cf48fabaf3303d9fd2fe5a4b3f76e1192b894e,6414169,1728458823,0.125,1811356,2,1
3e05395c07cec9bc9d88c3336fa930df262b4219819448539c8a48c8f438c133,6413991,1728458025,0.125,1315136,2,11
ca655a964b80b0649167866fdd0d3c701ad4dca86d7ab76f949ce9b4af333728,6406774,1728423515,0.125,1493258,2,1
355252503485f213598d97d5b056ad4ca1b76befdaafd810958ef73f86874b2a,6416118,1728467244,0.125,1573066,2,1
75e13c822316034cb28e5fcfc2aa318a116b4bd4a74f6247939968cca3f2d03c,6464667,1728675283,0.125,1626997,1,1
07ea5b4ec372cd086bff1f124c809b46a9aafc72923f59350d335e8d177c1133,6406935,1728424205,0.125,1650904,2,1
c1b4313499f7412798a99252812ad79e9a86a0af7986134d47003cc64b484b04,6416934,1728470846,0.125,1572527,2,1
2bd0d7d51b9f90ce62186728f14e9e22b1666074d051b6dbe5eef31045c7ce67,6546533,1729078063,0.125,1467485,1,1
4a01f210024f36781aeff5130ddfa084351751ad457e74334093cf3fec16441e,6441346,1728589213,0.125,1710090,1,1
2ee42bf373bfc71911051d2b16030891ab9f4782487ff9a0cd7dda7f32391ee1,6489789,1728801806,0.125,1627257,1,1
