Transaction Hash,Block Number,Timestamp,Gas Price (Gwei),Gas Used,Number of Inputs,Max Merkle Tree Depth
3cb512fd12485807e729c42738b86ec053153fb74c02b8652f9cdce0fcfb4966,16640242,1728333000,0.394,643006,4,2
6a16e089c0f7c739503f0d9c2057f721857d03440e2e2794639174e8707d0c34,16240786,1727058609,0.103,588532,4,13
45f61947d6b56de330ac22bdaf5f357bc32b2eff21f1269f40816ce2add68857,16655055,1728383402,0.168,636043,4,2
2eb3c9d1d6bfcac3ffbcef523199f92a489ac9b611ca95433d68e18cad223e6b,16164484,1726828206,0.133,629033,4,2
f6d239c679479305284bf6921d594c665cf8044f285918ee55268dd5fc20ad4a,16903154,1729231200,1.09,631922,4,2
fcfaea13010e3dd6b5c624f9a7f6bc2f9aa3bf9b2b27c7a370944761cdb63a17,16393256,1727519408,0.106,588616,4,13
4d7661559d55bfb81f6c1d03ea1320b8d270d1a7b74971c75e85b8ce7a342f0f,16542443,1728001800,0.0656,629125,4,2
e49c3562280b9855c98f9be5447fcd283915c17abfc87b5131cab838c8ba24df,16824499,1728963332,0.247,545418,1,1
868e08fde4a46217603bfb9b4018c5e660c6fe5c04f21c88f563eec3f4b89236,16330146,1727328608,0.157,602476,4,13
e7985ab554d0ce87151a9da03c72912012cb5953e61c837a3fca3a72fa7f047c,16935191,1729339202,0.125,631866,4,2
39999c2f6144bd3275f61359bb64dbc80a7ba49101b96633a40559c59541a65e,16344429,1727371805,0.509,598433,4,14
8a6acff6b2569b3d3423bf9e43da9a4c0d5c75ed888d0eb5327fdbbda4ba600d,16616958,1728253803,0.08,636099,4,2
75f94b32d003bc3e28a01a2a0d6616fc7474451681a289dfcbf90173eb60b5a5,16627551,1728289801,0.155,636099,4,2
bee551b13bb03f334b0eb31f57155667ed852a915cbe5be33407e6507b5724cf,16670395,1728435602,0.291,622034,4,2
d86ee40a07a1cdb74c46e138d349485893dcdd7cecbbde57553bb02b2ab2ac6e,16522138,1727931928,0.0522,635995,4,2
8418f42e96e9c0b67dd3628b945dab48bd67b57908f1cc1393d146df43db76fe,16648212,1728360001,0.12,622022,4,2
7d2c6a33e5a2383a98303eddd46d906fc35b4b80949aae7d0e944b557220f9d9,16680747,1728470702,0.225,629021,4,2
6fb91867598181690b6ef3f423ec4c87fbe4e6fea90da641da1dbd6bb6525c9a,16539320,1727991377,0.072,635951,4,2
285824c8d73044b4677405a8576f1aaf079f019b1ef2e0e396571b0fea18b4a4,16592907,1728172802,0.0437,635959,4,2
cd298c1b97b34507f8e1c4926a42fec11012b03513ad41cf6600ba15ed7d8969,16835006,1728999502,0.412,545418,1,1
cede3ae5e081189ba25466ea6540440dffdc30b83dddb7b240e72ea29f674e2c,16582222,1728136800,0.114,635951,4,2
c59ac03b5366c7019eabe44baece133dcb0af7e3dc120ed21fc76d9101a1266b,16437946,1727654407,0.0796,604047,4,11
2f2838db61de8e4a0549e2469acccabd524cc5e752451b7edc5f03dc77e2629d,16492020,1727827201,1,622114,4,2
a40cb7590e6778876d371e1ee65b65c01618ceaa9508dc395729efb1b306e66f,16545109,1728010800,0.0583,629009,4,2
9fc96952f097f9c6a19542ea0df9baecd839bc1ee7ab84bd5818f8ed34b0656f,16770968,1728777599,0.123,643030,4,2
e1e241acba892c82e73f32ca7687db8f82d34b7bd81f1e917f4d08c5e221ced2,16306915,1727258407,0.47,605259,4,14
a65eec8ae8153398aefb6adaaee9132b3e0368a0ba90e4bb55a412e1db8a2cdd,16384314,1727492406,0.118,604244,4,11
3f17e28e6dc6f7b32ebbcf4d0d1180a09050d4a12918edb4ea63479299d5b501,16346811,1727379008,0.314,622066,4,15
d388f3367758ad5173746fecc73f372b5de2e446d64b32efcccfc303db719433,16620622,1728266401,0.141,622090,4,2
