Transaction Hash,Block Number,Timestamp,Gas Price (Gwei),Gas Used,Number of Inputs,Max Merkle Tree Depth,Chain,Timestamp_Rounded,timestamp,ETH Price (USD),Gas Price (ETH),Total Cost (ETH),Total Cost (USD)
4c680ba79bede26b8a890a626d705de9b2ddf6e45314ff47bae73c103a83f3ec,9713841,2024-09-20 15:00:03,0.114360174,824870,11,4,Linea,2024-09-20,2024-09-20 14:31:30.043,2545.7924097326254,1.14360174e-10,9.433227672738e-05,0.2401503940853616
a846b38ed9e3e804419867ea3b76ba93023530890bbe296a08aa60e1de3bc049,16169853,2024-09-20 15:00:09,0.305,622054,4,2,Polygon,2024-09-20,2024-09-20 14:31:30.043,2545.7924097326254,3.0500000000000003e-10,0.00018972647000000003,0.4830042072513647
9aa2be0fe24e20df5b6633ed969ec421dab632b8f1c4dcbcb793d2b11607fd96,9714741,2024-09-20 15:30:04,0.1227621,831789,11,4,Linea,2024-09-20,2024-09-20 14:31:30.043,2545.7924097326254,1.227621e-10,0.0001021121643969,0.25995637306299807
01b05562654f971a8cf6371013675cfaeedd477811737c86c2aaec1eb7ff5b55,16170449,2024-09-20 15:30:07,0.218,636032,4,2,Polygon,2024-09-20,2024-09-20 14:31:30.043,2545.7924097326254,2.1800000000000002e-10,0.00013865497600000002,0.3529867854724594
9c3ed2f6b90a21adaba9f143ac1b4fb3ce06e6bc235d1fc83df822364a89eb56,9715641,2024-09-20 16:00:04,0.122733455,828917,11,4,Linea,2024-09-20,2024-09-20 15:36:52.135,2542.94992182794,1.22733455e-10,0.00010173584731823501,0.258709164985005
0b7d61b0dd5d37733730ea91c9ab3fd2454abe093bc2fe3ab5c24c1b9ba446c0,16171046,2024-09-20 16:00:09,0.319,628941,4,2,Polygon,2024-09-20,2024-09-20 15:36:52.135,2542.94992182794,3.1900000000000004e-10,0.00020063217900000003,0.5101975839042194
c3634326e20aa805e5a2016cbabc04f49beb0ed47aab129baca3fe0aab209e02,9716533,2024-09-20 16:30:04,0.12965552,824814,11,4,Linea,2024-09-20,2024-09-20 15:36:52.135,2542.94992182794,1.2965552e-10,0.00010694168807328,0.2719473573260953
ca1ff2c2d430e069adb7a3487a89ca828d5494b6bb40899c982355354651ca18,16171640,2024-09-20 16:30:08,0.347,628953,4,2,Polygon,2024-09-20,2024-09-20 15:36:52.135,2542.94992182794,3.47e-10,0.000218246691,0.5549904058176566
ceaf4b2ae34300b0a559b78925bb66039c29303d8379fd09be550dfd5a9fc4a8,9717430,2024-09-20 17:00:03,0.103499,831893,11,4,Linea,2024-09-20,2024-09-20 16:32:24.818,2560.151541085397,1.03499e-10,8.610009360699999e-05,0.22042928733555797
7ee5a9e6272e814934b040ba8b7e900202fa28c2796f2182b373959453e0895b,16172236,2024-09-20 17:00:09,0.279,643074,4,2,Polygon,2024-09-20,2024-09-20 16:32:24.818,2560.151541085397,2.79e-10,0.00017941764600000001,0.4593363629048143
