Transaction Hash,Block Number,Timestamp,Gas Price (Gwei),Gas Used,Number of Inputs,Max Merkle Tree Depth
f41778f6188e5de0e69faad7b26798b26a9fe055a942d854f27ce6ad7079d8e7,10912082,1729273907,0.240000007,535527,1,1
47a2b6d83d824795274d7da49f197c126f48a18a5e4c5c5802d84805b4dadf03,10571795,1728576678,0.240000007,545418,1,1
58a63a8af7afaf95bb67e48ad644f45eddaf798f15d557362a53810e7f4dd5be,10233882,1727893803,0.200000007,852936,11,4
b0f4abd5e7e97425b7e5e8f780dafce705fa46e394caeb27baf1818b2d67e985,10870507,1729188581,0.240000007,545394,1,1
9d6f6d19df367e2396eee3e2a0685539261229bf475358dc0eab6bae7bf65c93,9830072,1727078403,0.17446,980506,15,14
645d9868ac3fc17fb1834caa70f9c2e4c567ce24372e9f936c2f5f53ff4deb0d,10513823,1728459866,0.085698122,488849,1,11
f72ab384e0db0c6c9e9fe8509ac9f72e0e43a6c33e473573344ffd8cc30845ac,10072642,1727568003,0.076,980654,15,14
8cd6e03b968ada656ac1fc0015c0c71efa8a9c3a4fdc8c5d986ec81502610341,10534940,1728502203,0.240000007,962152,15,4
c17693da52eb8310aa0075e522e988626f228425c2f6c3e9b7502c9d7247613a,9925521,1727271004,0.164991716,1004637,15,15
a6d20eda17835efbc8a574201ee4379725af267f20231a48d6cc964d7ca84c53,10766140,1728975751,0.086024886,559415,1,1
f2cbc30b392b77e6469a43c0939fb8e4909b8323d0e27b13b71feb9a7d06e837,10848759,1729144516,0.187352954,545314,1,1
270d3a6bc91a7717c7d1bdb46e8e2206f1a2b5978948a2b47e045b9abc6451b7,10509870,1728451932,0.143689654,488757,1,11
2a2528e7e1c09e01d48042d178df33182c9ad9343f4e174927aa6739004ac2d5,10505734,1728443598,0.128310236,495859,1,11
e2fe684163562a9171d97d643db820cf2fed2fff72e5ca5d4842fa1139bd7481,10270537,1727967602,0.138158517,831929,11,4
c60ef183dd77063e28c5ab571ede87c9046e2197247142730918e74fe5c9e3e7,10713993,1728869510,0.111810355,552336,1,1
0da855d117ce0a52afbc6c888448beedd256fc597b35b1395954d4e2d58278e1,9862717,1727144685,0.101998096,488881,1,11
856deefc7bbd12fd51d812e9defca6acc12cbbe02edbb5658e1f0deaf9bb4ac5,10787096,1729018084,0.240000007,538499,1,1
f157bc0da225d31c8275690901014bcc98dc238509e467603bae91ec3ceda564,10558816,1728550691,0.100000007,579271,2,1
155f936d2df7611af829024cff638df2106c340415b27abf969b7cc16dd90064,9767472,1726952403,0.083053243,852780,11,4
6dcd91920d8ed1e634222818b7d29ef97bc3eb63d8799ec234f9518b3c7b301b,10741356,1728924492,0.240000007,566345,1,1
b9534cd3c3263c6b40ccafbe9871ae9c90d7396c30998b054c2406f84c577b00,10054916,1727532002,0.072750007,1005089,15,15
06c219fcf1c7a75f4ba401ff69170794925ff250dce1e94946fce307e482bb2a,10565189,1728563452,0.129668528,552484,1,1
b9f884ba9a07f2bef53dea9d14d449abf31434452298d671651fdf70dab1337f,10710472,1728861687,0.213014337,545498,1,1
02b01bab342182bb9ad458540902cbd98741e659ead62112eefad382f5e4366c,10860604,1729168337,0.240000021,559335,1,1
58541817732f6471b84fcd961d350f5a261f4e681adf773416fd51138f7c1d1d,10574880,1728582858,0.240000007,552404,1,1
f81675117b70501dbef46a22649fe8cad143239d8b1c2f24e3366040514fb083,9951242,1727323202,0.078949015,858746,11,16
acadf03398bc54139af15a35441e371e109e5361a703e628e16c742fe3098abe,10509026,1728450231,0.17028912,493103,1,11
b1e6fc3740eed05931bf198c2eafe40d1fee03935629925eef9f276710e0a448,10414994,1728259203,0.130557427,838824,11,4
203deb6a6f6e6f8841e775ca3b385bd6bc35772a219f0a2140e92034bca63134,10588543,1728611825,0.171885,545406,1,1
b9bd23486e6e38c6962edd2750d27b480e920be5ec961c654d615d578a879a97,9703950,1726824605,0.072041987,824886,11,4
f1847b17bba464c3bd43d585d010f9d9449373ec0ed1021b024f7dee7a09ad68,9821972,1727062203,0.058200007,1001158,15,14
93d200ffcc1ed1c228f2e1507e517c9533238f5790f795999ecf64f7cd64041c,10257941,1727942402,0.072180103,852804,11,4
e6469866c47503bc052558a5e1247c3680b6cf09fa2a1dcc61838a694fa3fabc,10512081,1728456366,0.110135053,522656,2,11
46f132c4ac096df8b10ccdfeca089cf1cc0646c38561b3e69ca1bf60a83a6b58,10503494,1728439104,0.128310236,493868,1,8
5ff3f69a98bdd10e9705e88542219d9da8d330cc0e713fa20121c0985de1e915,10901590,1729252803,0.240000007,899132,15,4
11fb0f9be93a5b72bb34c3a027d1c77235cb0672c2c99bce2b7884486231dbd8,9805916,1727029765,0.095,504858,1,14
a5c4e034a8bf5e65303fb45fb8b1743693c27c336606b36abb7ef0a09477ead9,10569659,1728572402,0.20033834,955269,15,4
577db4c10afc90a943fc31c9d87548d2e3a84088eaee67a25df2ec216263d700,10527765,1728487803,0.240000007,962072,15,4
0e8325a88456e51c1abab795e45cfd182ae9588321e1c876ce9df0fe6796c9cb,10514642,1728461504,0.10627374,510522,1,12
d5747497725d13fe215ae4a3ad16b48439e19679ee89698f5419351db49589d0,9857622,1727134202,0.133830998,991096,15,15
44d0fc21b1968edae50d38fa830caf90cf04beed0a0883e14b22bae299272bce,10664919,1728767400,0.220544638,552392,1,1
aa9cb6ce0bed1d5241e67ea25d08dcc218ad4d4ebc73f5ecb096dc485602a2a4,9883905,1727187080,0.099548905,529216,2,16
570a91a2715e9fae71b8705b97921f6c1984be003bebc5feea211175dc0b555f,9812190,1727042402,0.993158845,984447,15,13
09a189d669da054e1122be75bb3b21e7b0ace49e374bb1ee30651bcb63fbcd9f,10526867,1728486004,0.240000007,955149,15,4
09531816831a3c95f0ad99db4188b9a729dde40ccfd116a9cc119517fd7f95fe,10565501,1728564078,0.132933805,552496,1,1
1d3e11abb8177883fb73c48ed0e6e25482ecfdccfbc30a9b02592bac3eafe074,9774480,1726966805,0.078,838995,11,4
8e2f7247f7f9e73d9e4036f27f424301f557ae8be811abe897e4d8a7c9222c65,10059406,1727541002,0.072781257,1050474,15,15
ee8d2f5df41557cf5e6ca426d14f77b0add406bedee9c719b2513e328d592c9f,10164405,1727753404,0.086241386,845822,11,4
13789cc03c4b50343f3cc0be87340530c4bad061ed0a499d76a2d68dcbbe77db,9855952,1727130604,0.10282,997475,15,15
040d60728dfa46b472883a6f19003a1e2fa43904903fe68eafb8268ecde5ac18,10095077,1727613003,0.075000007,827674,11,4
52832b5fcb3961158b593bc27ab8843464267a4c3e446588aa4c1edaa84470bf,10575345,1728583797,0.25,538407,1,1
bbb504de34e71fcf39bfd75ac1b26f5e23ab59652b386088d849537ceed2fa19,10763255,1728969981,0.193139061,545418,1,1
cf2a439772481f704a5d8d2f7336aa2a02a077856d06d8da539d5586ae58a879,10510701,1728453602,0.120696989,950859,15,4
e1b6ee79f2f0ec25c9deef7be46585709f1e4713dc9ed80e50231de7af20dc42,10471860,1728374403,0.113728245,955033,15,4
fad974631f8961cf79e401ceed22c7d80e2f08c1fa3ec819777193b26f576e2a,9969930,1727360598,0.096433073,499112,1,16
6a6267edd9e8eb1ff8e463714013580929a8469b49fc334572c36fa4ce0dd45d,10790220,1729024503,0.257,552416,1,1
3cbee706ef404be827fbf3338492ffc270ea382ee34369fe971b452ee9ccbf53,10435623,1728300603,0.134442174,838892,11,4
d6eeda9185ecf10e214150d5199607017be5e16705a8c622cec68110c2b434d1,10132423,1727688603,0.075000007,841583,11,4
dd50444d8c8fc1dccbc980ef0a2b3d9600e1256b9bbd0645db59ab37dc2dfc23,9972828,1727366403,0.121,980710,15,14
25e368076ebb5e808838e9af0002b89cea3e37c2d8263c3e44242de53e06316f,10549919,1728532804,0.113665684,948167,15,4
9e049a95a8a9904fbe6e803ecc76b21be89926d0474b0b40b1d8d2e5537ffa0b,10171603,1727767803,0.12916723,838831,11,4
65c16f5597fd90ed1feea0a51bd7cf85d6b816407ec6eda1ae8d66085e5d0a5d,10565281,1728563636,0.164999683,559335,1,1
a579ce613a4446df62604b134732e3a9f2034cf794eb6346719f5232ac20a86a,10138717,1727701203,0.075000007,831905,11,4
535e769a440508dc3ea948e41782f786fcbd5a0e3deb71945ee853c70feabfe8,10510781,1728453762,0.121746719,481758,1,11
4b86aef80cb490ebe063bd5d81569178fbe6d923540813649cf17337fe1d05e5,9794260,1727006403,0.06639696,836127,11,4
331c1fd99f3272ceb35efe95510cf1b38a7073b5395923ec8efd3d35c74e7271,10509458,1728451101,0.129567366,488227,1,10
14654e47226d4b70ba4b47688d59525b9d7bd91ebaa93e0a38118caa229da44b,10555284,1728543604,0.104093433,919153,14,4
f49b71cf5d063f23fcea6fa9e53ca34188cd26c1ec7d1ca47474c73e62e73263,9858436,1727136003,0.135800002,1004048,15,15
540bb31d90975d01212bb7b3e8bf3a9c045a418b169e54de1998e205cf2e5569,10134224,1727692205,0.075000007,838831,11,4
19842c2d3894af57cb049c30efa1cd076a723b846177c55c4832ceb5a7346cee,10963848,1729380080,0.27082915,563545,1,1
88f7a412136f65e9f4675a43a99fce3dad553f8f4990bcb63795dfef73ee63e2,10480803,1728392401,0.135799748,935854,14,4
e9c8933e64242384401fad022e0f5206db27146f06aa22aa0f562daf73d69330,9891622,1727202603,0.132997222,984587,15,13
7a900162e7830f0211a21ea5d06af4e62cef2eed4f0fa33d39b4e32caac1e2b4,10214231,1727854435,0.073762166,838891,11,4
39d0d4ee0600b70a3e450cd5c53ae5b2182a694851de728ac4dc82bdcf16f0e9,9707549,1726831804,0.06568327,852840,11,4
34c6a9422160ae06eef061ad7416a33eb2cc7cb2af8ada2cb87203f91eefe2da,10516205,1728464633,0.103000067,502834,1,11
8deb6b5c58a67705d9dcda873ca27e869d8860962d20d72714cda3d1ec794e86,10493874,1728418824,0.240000007,490275,1,13
c94aff543fef6fcc06504e9e030c6f4e4c7f8c44083891b72f5da1eb880ce185,9861084,1727141403,0.100000007,953972,15,10
84bac64078a882b825176b02474b8afaac98862f58bf99fa6f1facc2545d97e4,9836372,1727091003,1.507,966910,15,12
d4014ef55b3f99489d813e0f6d86bb91bbc780e8a6a00db4ac55bb9c9af0bcb3,10578441,1728590181,0.244,566425,1,1
b5ccff7b0c43d01a36777b8bba0eca8eb21892ab3562424cfbb2a756e8f2a975,10648861,1728734404,0.11069906,941200,15,4
ae39b01a63e0529aa2a200b9eb3cb4d37a1ac5783fbe05443362f43de786fbaf,10392849,1728214203,0.153278287,852808,11,4
55e89de20c86f6fc7413f57c6ec43c5ebb9d556f1bbb351ec4256e562c5e0098,10874552,1729196888,0.242,538327,1,1
581114ef164bbfe35fe49e896c6d6d00e6b31e80bcf93129c453f35f6a68b5c1,10278629,1727983803,0.200000007,843206,11,4
c120b6af798a5d873de10281eb991055e64468d223b13a821159bb72bfb977f0,10509233,1728450646,0.17028912,493122,1,7
f4c90ba5ff73834d590f4e14757dc92a05ed2077de08fed0ca5c90211be9394b,10883263,1729215960,0.240000007,535515,1,1
bd6617850e5a3122205fc755de02f8937a2340e305c3be66f52325b1dc4e0e2f,10675312,1728789668,0.133741724,552496,1,1
7c034a52a87dc4b34a341c686b871a0420110b77e13072e3d95aaf307bd0100e,10696877,1728833072,0.195,538407,1,1
00bcc33a74c964410f86cc1d2d343bc74db8ae2d5a7cdbcb0925fc830880fde0,10890629,1729230771,0.176449524,556603,1,1
97a0385a605b596076969e129a8d9cfccd4e049a2af8f632a3af591927f169d2,10360811,1728149402,0.125,846006,11,4
aa3e6a9bac17035c01cd1198fcf655bfcad7695752578bf7c45481b14b13c478,10775213,1728994005,0.240000007,538487,1,1
f664a75dc27f0e6fc3ed97d6f2b9c8df496c64701ac0af0372f28c3a605a71b1,10760105,1728963667,0.211692062,552300,1,1
90ae4712ae8f28345db493049feaca16ea9c742b73e07121e1302938426ef411,10051323,1727524802,0.075000007,964035,15,11
2fd1ecfa82af603813c39105632eddc92021aabf36bb9e8b22ae20bf85ffab05,10510342,1728452881,0.121774084,493098,1,7
3c6704acd6c833710f1eab21b44e1db1a67d4ae9474b60d28c16566ab1ad6d9e,10948038,1729347377,0.152268274,549537,1,1
03a0312f09355faa8ef60c3de51622aef39897862c5182f66526ebfa6cb96fd9,9955736,1727332203,0.084000005,977065,15,13
2966de9e3e742cd66d96961cc56e49841bb2773ad44eee08e35b065f26aa65dd,9778964,1726975803,0.054747777,845938,11,4
54c0388a8197be2078f52a871b1102f8cfb39f5cf4f54d50943d04f38c0023fa,9771828,1726961404,0.09215,822154,11,4
db7ec7846da8181f794f6d68b2bd0d5a2cea01a46847df8941baabbb3dbd6c2e,9882668,1727184604,0.0875037,1005009,15,15
382095300a5f162f5f5eb25f11674b07243b7d0df2e29d395a9c2f6b82ebb597,10398240,1728225002,0.127605663,824998,11,4
d48cc25378ec7974cbb1fc8de92baeb3959ba11327769a646eff9db59cb6870e,9790662,1726999204,0.065738302,824838,11,4
37e0a2e7400ce00e727bc046287aa81bfd7c19cfef89510fadda30ca08fbb15f,10803727,1729053133,0.240000007,559495,1,1
2f99315d8c3094a0d991d6537c5dc139a3fae22a73dd213a45fe2ac4b3d1ac45,10719095,1728879796,0.138875701,545394,1,1
1c349b85afb97d0daf3a9a9ae16f25d686ea5c71d6a0071e023e57a6a8d02a60,10508451,1728449076,0.128310236,494491,1,9
